name_sport,location_sport,dcode,stdcode,type_sport,area_sm,data_perf,ownership,chairman,detail,num_users,sum_month,sum_year,remark
ฝนทองนิเวศน์,ถ.พหลโยธิน แขวงอนุสาวรีย์,1005,C,1,70,มีการจัดกิจกรรมเครื่องออกกำลังกาย และแอโรบิค และตะกร้อ,เอกชน,นางดวงใจ  ทองประเสริฐ,"ตะกร้อ,บาส,ฟุตบอล,ปิงปอง,วิ่ง,จักรยาน,สนามเด็กเล่น",0,5,2564,ไม่มียอดผู้ใช้บริการเนื่องจากปิดสถานที่ชั่วคราวตามประกาศของกรุงเทพมหานคร
สมาคมหมู่บ้านสวัสดิการ(ทหารบก) อยู่เย็นเป็นสุข,ซ.รามอินทรา 34 แขวงท่าแร้ง,1005,A,1,200,มีการจัดกิจกรรมบาสเกตบอล แบดมินตัน วิ่ง และแอโรบิค,เอกชน,นายทศพร  สนิท,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,วอลเล่ย์บอล,เกมส์/กิจกรรม,สนามเด็กเล่น,หมากรุก/หมากฮอส,แบดมินตัน,เปตอง",0,5,2564,ไม่มียอดผู้ใช้บริการเนื่องจากปิดสถานที่ชั่วคราวตามประกาศของกรุงเทพมหานคร
ชุมชนหมู่บ้านสดใส,5983 แขวงคลองถนน (กูบแดง) แขวงอนุสาวรย์ เขตบางเขน,1005,C,1,200,มีการจัดกิจกรรมฟุตบอล ตะกร้อ แบดมินตัน และเครื่องออกกำลังกาย,เอกชน,พันจ่าอากาศเอกวีระศักดิ์ ยี่สุ่นศรี,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,แบดมินตัน,วิ่ง,สนามเด็กเล่น",0,5,2564,ไม่มียอดผู้ใช้บริการเนื่องจากปิดสถานที่ชั่วคราวตามประกาศของกรุงเทพมหานคร
ปั้นทอง 3,ถ.ลาดปลาเค้า 85 แขวงอนุสาวรย์ เขตบางเขน,1005,C,1,800,มีการจัดกิจกรรมเครื่องออกกำลังกาย,เอกชน,นางสิรัชชา  เดชายาประสิทธิ์,"ฟุตบอล,ตะกร้อ,แบดมินตัน,ปิงปอง,วิ่ง,แอโรบิค,สนามเด็กเล่น",0,5,2564,ไม่มียอดผู้ใช้บริการเนื่องจากปิดสถานที่ชั่วคราวตามประกาศของกรุงเทพมหานคร
สินทรัพย์นคร ลาน1,ซ.พหลโยธิน 50 แขวงอนุสาวรีย์ เขตบางเขน,1005,C,1,400,มีการจัดกิจกรรมฟุตบอล ตะกร้อ แบดมินตัน และเปตอง,เอกชน มีสัญญายินยอม,นายจตุพร  สังข์ทอง,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,แบดมินตัน,ปิงปอง,สนามเด็กเล่น",0,5,2564,ไม่มียอดผู้ใช้บริการเนื่องจากปิดสถานที่ชั่วคราวตามประกาศของกรุงเทพมหานคร
อยู่เจริญ,ซ.พหลโยธิน 50 ถ.พหลโยธิน แขวงอนุสาวรีย์ เขตบางเขน,1005,C,1,400,มีการจัดกิจกรรมฟุตบอล ตะกร้อ แบดมินตัน วิ่ง และแอโรบิค,เอกชน,นายเสถียร  ตรีภพ,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,แบดมินตั้น,วิ่ง,สนามเด็กเล่น",0,5,2564,ไม่มียอดผู้ใช้บริการเนื่องจากปิดสถานที่ชั่วคราวตามประกาศของกรุงเทพมหานคร
โรงเรียนบ้านคลองบัว,ซ.รามอินทรา31 แขวงท่าแร้ง เขตบางเขน,1005,C,2,300,มีการจัดกิจกรรมฟุตบอล วอเลย์บอล และสนามเด็กเล่น,กทม.,นายสุภาพ  น้อยมาก,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,วอลเล่ย์บอล,สนามเด็กเล่น,แบดมินตัน",0,5,2564,ไม่มียอดผู้ใช้บริการเนื่องจากปิดสถานที่ชั่วคราวตามประกาศของกรุงเทพมหานคร
โรงเรียนประชาภิบาล,ถ.พหลโยธิน แขวงอนุสาวรีย์ โทร 025210424,1005,C,2,400,มีการจัดกิจกรรมฟุตบอล และสนามเด็กเล่น,กทม.,นางสาวโชตศิกาญจน์ ยุติธรรมนนท์,"ฟุตบอล,บาสเก็ตบอล,วอลเล่ย์บอล,แบดมินตัน,แอโรบิค,กายบริหาร,เกมส์,สนามเด็กเล่น,ปิงปอง",0,5,2564,ไม่มียอดผู้ใช้บริการเนื่องจากปิดสถานที่ชั่วคราวตามประกาศของกรุงเทพมหานคร
โรงเรียนไทยนิยมสงเคราะห์,ถ.พหลโยธิน แขวงอนุสาวรีย์ โทร.025210198,1005,C,2,800,มีการจัดกิจกรรมฟุตบอล บาสเกตบอล วอลเลย์บอล และสนามเด็กเล่น,กทม.,นายยุทธนา  โคตรสาร,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,วอลเล่ย์บอล,ปิงปอง,สนามเด็กเล่น,แบดมินตัน,เปตอง",0,5,2564,ไม่มียอดผู้ใช้บริการเนื่องจากปิดสถานที่ชั่วคราวตามประกาศของกรุงเทพมหานคร
ชุมชนพัชรัฐ,3257 แขวงท่าแร้ง เขตบางเขน,1005,B,1,400,มีการจัดกิจกรรมบาสเกตบอล และเครื่องออกกำลังกาย,เอกชน,นายกิตตินันท์  มาฆะวงศ์,"ฟุตบอล,บาสเกตบอล,แบดมินตัน,วิ่ง,สนามเด็กเล่น",0,5,2564,ไม่มียอดผู้ใช้บริการเนื่องจากปิดสถานที่ชั่วคราวตามประกาศของกรุงเทพมหานคร
หมู่บ้านรุ่งสว่างวิลเลจ,ซ.รามอินทรา 8 แขวงอนุสาวรีย์ เขตบางเขน,1005,A,1,800,ไม่มีผู้ใช้บริการเนื่องจากการแพร่ระบาดของโควิด,เอกชน,นางสาวสุดจิต  เขียวอุไร,"ฟุตบอล,บาส,แบดมินตัน,ปิงปอง,วิ่ง,สนามเด็กเล่น",0,5,2564,ไม่มียอดผู้ใช้บริการเนื่องจากปิดสถานที่ชั่วคราวตามประกาศของกรุงเทพมหานคร
การเคหะรามอินทรา,ถ.รามอินทรา แขวงท่าแร้ง,1005,A,1,1200,มีการจัดกิจกรรมเปตอง แอโรบิค และสนามเด็กเล่น,ให้ กทม.ใช้ประโยชน์ตามบันทึกข้อตก ลว 25 ก.ย.41,นายเสกสรรค์   พงศาสกุลโชติ,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,ตะกร้อลอดห่วง,กิจกรรม,สนามเด็กเล่น,หมากฮอส,วอลเล่ย์บอล,เปตอง",403,4,2564,
สุขใจวิลเลจ,ซ.รามอินทรา 56 แขวงท้าแร้ง,1005,A,1,1500,มีการจัดกิจกรรมฟุตบอล บาสเกตบอล และเครื่องออกกำลังกาย,เอกชน,นายยุทธชัย  อภิชัยชาญกิจ,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,แบดมินตัน,ปิงปอง,เกมส์/กิจกรรม,สนามเด็กเล่น,หมากรุก/หมากฮอส",213,4,2564,
โรงเรียนวัดไตรรัตนาราม,ซ.รามอินทรา 8 แขวงอนุสาวรีย์ โทร.025211289,1005,C,2,1500,มีการจัดกิจกรรมฟุตบอล บาสเกตบอล วอลเลย์บอล เทเบิลเทนนิส และสนามเด็กเล่น,กทม.,นายสมสกุล  สุขวรรณ,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,วอลเล่ย์บอล,สนามเด็กเล่น,แบดมินตัน,เปตอง",0,4,2564,ปิดภาคเรียน
เพชรสยาม,ถ.สุขาภิบาล 5 แขวงท่าแร้ง เขตบางเขน,1005,A,1,1100,มีการจัดกิจกรรมฟุตบอล และตะกร้อ,กทม.,นายพงษ์ทวี พันธ์ลำเจียก,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,วิ่ง,สนามเด็กเล่น",178,4,2564,
หมู่บ้านเมธา  1,2298 ซ.  สยามธรณี  แขวงท่าแร้ง,1005,C,1,40,,เอกชน,นายเฉลิมชัย  คงสุวรรณ,"ฟุตบอล,ตะกร้อ,แบดมินตัน,วิ่ง,สนามเด็กเล่น",74,4,2564,
ชุมชนหมู่บ้านสินทรัพย์นคร ลาน 2,8510 ถ.พหลโยธิน แขวงอนุสาวรีย์,1005,C,1,150,มีการจัดกิจกรรมวอลเลย์บอล และแบดมินตัน,เอกชน มีสัญญายินยอม,นายยุทธนา  แสนละเอียด,"ฟุตบอล,บาสเก็ตบอล,ตะกร้อ,แบดมินตัน,วิ่ง,สนามเด็กเล่น",35,4,2564,
